symbol,session,rr_target,confirm_bars,n_winners,sample_class,session_max_min,t50,t80,t90,t95,t_max_obs,dead_exposure_min
MES,0030,1.0,1,1713,CORE,300,14.0,38.0,63.0,106.0,444.0,262.0
MES,0030,1.0,2,847,CORE,300,22.0,59.0,102.0,170.0,419.0,241.0
MES,0030,1.0,3,847,CORE,300,25.0,71.0,130.0,188.0,445.0,229.0
MES,0030,1.0,4,843,CORE,300,29.0,75.0,137.0,202.0,441.0,225.0
MES,0030,1.0,5,831,CORE,300,32.0,86.0,146.0,206.0,434.0,214.0
MES,0030,1.5,1,1367,CORE,300,27.0,73.0,127.0,197.0,444.0,227.0
MES,0030,1.5,2,677,CORE,300,41.0,111.0,187.0,244.0,443.0,189.0
MES,0030,1.5,3,658,CORE,300,48.0,136.0,205.0,261.0,467.0,164.0
MES,0030,1.5,4,640,CORE,300,55.0,147.0,212.0,284.0,487.0,153.0
MES,0030,1.5,5,637,CORE,300,60.0,167.0,241.0,290.0,472.0,133.0
MES,0030,2.0,1,1157,CORE,300,42.0,120.0,200.0,263.0,450.0,180.0
MES,0030,2.0,2,543,CORE,300,63.0,158.0,249.0,294.0,449.0,142.0
MES,0030,2.0,3,518,CORE,300,70.0,194.0,262.0,318.0,487.0,106.0
MES,0030,2.0,4,511,CORE,300,78.0,192.0,276.0,325.0,487.0,108.0
MES,0030,2.0,5,491,CORE,300,90.0,214.0,284.0,329.0,472.0,86.0
MES,0030,2.5,1,939,CORE,300,61.0,157.0,250.0,312.0,491.0,143.0
MES,0030,2.5,2,433,CORE,300,88.0,211.0,288.0,335.0,469.0,89.0
MES,0030,2.5,3,409,CORE,300,92.0,226.0,286.0,336.0,460.0,74.0
MES,0030,2.5,4,402,CORE,300,103.0,240.0,296.0,332.0,483.0,60.0
MES,0030,2.5,5,374,CORE,300,114.0,254.0,304.0,339.0,467.0,46.0
MES,0030,3.0,1,778,CORE,300,84.0,204.0,286.0,332.0,471.0,96.0
MES,0030,3.0,2,356,CORE,300,118.0,250.0,300.0,356.0,478.0,50.0
MES,0030,3.0,3,330,CORE,300,131.0,255.0,304.0,326.0,477.0,45.0
MES,0030,3.0,4,314,CORE,300,131.0,261.0,308.0,359.0,457.0,39.0
MES,0030,3.0,5,294,CORE,300,138.0,272.0,313.0,359.0,453.0,28.0
MES,0030,4.0,1,553,CORE,300,117.0,238.0,298.0,344.0,490.0,62.0
MES,0030,4.0,2,231,CORE,300,159.0,289.0,322.0,374.0,489.0,11.0
MES,0030,4.0,3,201,CORE,300,163.0,291.0,319.0,368.0,460.0,9.0
MES,0030,4.0,4,197,PRELIMINARY,300,173.0,273.0,300.0,322.0,479.0,27.0
MES,0030,4.0,5,177,PRELIMINARY,300,160.0,285.0,317.0,366.0,478.0,15.0
MES,0900,1.0,1,1303,CORE,480,13.0,40.0,77.0,139.0,926.0,440.0
MES,0900,1.0,2,629,CORE,480,16.0,48.0,92.0,163.0,923.0,432.0
MES,0900,1.0,3,619,CORE,480,20.0,58.0,107.0,224.0,1076.0,422.0
MES,0900,1.0,4,631,CORE,480,21.0,60.0,123.0,246.0,1074.0,420.0
MES,0900,1.0,5,627,CORE,480,23.0,74.0,138.0,287.0,1074.0,406.0
MES,0900,1.5,1,1055,CORE,480,26.0,73.0,156.0,420.0,1092.0,407.0
MES,0900,1.5,2,509,CORE,480,34.0,101.0,233.0,471.0,1096.0,379.0
MES,0900,1.5,3,503,CORE,480,39.0,126.0,300.0,501.0,1139.0,354.0
MES,0900,1.5,4,491,CORE,480,40.0,132.0,301.0,467.0,1136.0,348.0
MES,0900,1.5,5,495,CORE,480,42.0,139.0,326.0,512.0,1106.0,341.0
MES,0900,2.0,1,892,CORE,480,38.0,119.0,278.0,535.0,1195.0,361.0
MES,0900,2.0,2,437,CORE,480,48.0,144.0,400.0,538.0,1192.0,336.0
MES,0900,2.0,3,417,CORE,480,56.0,206.0,428.0,597.0,1191.0,274.0
MES,0900,2.0,4,406,CORE,480,57.0,221.0,427.0,530.0,1205.0,259.0
MES,0900,2.0,5,411,CORE,480,60.0,219.0,410.0,524.0,1233.0,261.0
MES,0900,2.5,1,743,CORE,480,49.0,166.0,417.0,595.0,1248.0,314.0
MES,0900,2.5,2,352,CORE,480,64.0,261.0,483.0,630.0,1245.0,219.0
MES,0900,2.5,3,346,CORE,480,74.0,301.0,494.0,716.0,1244.0,179.0
MES,0900,2.5,4,339,CORE,480,86.0,349.0,505.0,720.0,1297.0,131.0
MES,0900,2.5,5,337,CORE,480,81.0,339.0,482.0,717.0,1262.0,141.0
MES,0900,3.0,1,660,CORE,480,57.0,236.0,500.0,667.0,1299.0,244.0
MES,0900,3.0,2,314,CORE,480,83.0,362.0,537.0,722.0,1265.0,118.0
MES,0900,3.0,3,300,CORE,480,94.0,398.0,563.0,853.0,1264.0,82.0
MES,0900,3.0,4,302,CORE,480,109.0,426.0,615.0,830.0,1296.0,54.0
MES,0900,3.0,5,300,CORE,480,111.0,434.0,614.0,842.0,1297.0,46.0
MES,0900,4.0,1,533,CORE,480,84.0,379.0,586.0,849.0,1304.0,101.0
MES,0900,4.0,2,251,CORE,480,121.0,449.0,613.0,854.0,1302.0,31.0
MES,0900,4.0,3,247,CORE,480,132.0,483.0,642.0,877.0,1299.0,-3.0
MES,0900,4.0,4,238,CORE,480,152.0,541.0,805.0,922.0,1305.0,-61.0
MES,0900,4.0,5,234,CORE,480,170.0,568.0,816.0,874.0,1310.0,-88.0
MES,1000,1.0,1,1585,CORE,480,15.0,39.0,66.0,95.0,646.0,441.0
MES,1000,1.0,2,751,CORE,480,21.0,59.0,96.0,212.0,647.0,421.0
MES,1000,1.0,3,746,CORE,480,24.0,68.0,108.0,242.0,650.0,412.0
MES,1000,1.0,4,747,CORE,480,28.0,75.0,137.0,276.0,732.0,405.0
MES,1000,1.0,5,723,CORE,480,31.0,77.0,142.0,283.0,650.0,403.0
MES,1000,1.5,1,1266,CORE,480,29.0,75.0,134.0,263.0,870.0,405.0
MES,1000,1.5,2,599,CORE,480,43.0,106.0,270.0,347.0,1053.0,374.0
MES,1000,1.5,3,592,CORE,480,51.0,149.0,310.0,417.0,962.0,331.0
MES,1000,1.5,4,575,CORE,480,53.0,166.0,321.0,421.0,961.0,314.0
MES,1000,1.5,5,570,CORE,480,57.0,183.0,320.0,413.0,820.0,297.0
MES,1000,2.0,1,1076,CORE,480,47.0,117.0,293.0,384.0,894.0,363.0
MES,1000,2.0,2,501,CORE,480,72.0,241.0,379.0,448.0,870.0,239.0
MES,1000,2.0,3,481,CORE,480,79.0,291.0,385.0,455.0,863.0,189.0
MES,1000,2.0,4,485,CORE,480,84.0,302.0,418.0,534.0,872.0,178.0
MES,1000,2.0,5,486,CORE,480,88.0,318.0,427.0,542.0,1145.0,162.0
MES,1000,2.5,1,921,CORE,480,70.0,228.0,365.0,448.0,1169.0,252.0
MES,1000,2.5,2,427,CORE,480,95.0,332.0,422.0,536.0,1148.0,148.0
MES,1000,2.5,3,410,CORE,480,115.0,369.0,459.0,635.0,1150.0,111.0
MES,1000,2.5,4,404,CORE,480,153.0,398.0,490.0,717.0,1161.0,82.0
MES,1000,2.5,5,404,CORE,480,154.0,382.0,489.0,768.0,1238.0,98.0
MES,1000,3.0,1,803,CORE,480,88.0,329.0,430.0,543.0,1214.0,151.0
MES,1000,3.0,2,372,CORE,480,146.0,410.0,524.0,727.0,1239.0,70.0
MES,1000,3.0,3,353,CORE,480,172.0,411.0,554.0,800.0,1240.0,69.0
MES,1000,3.0,4,352,CORE,480,208.0,433.0,638.0,850.0,1307.0,47.0
MES,1000,3.0,5,360,CORE,480,231.0,443.0,663.0,839.0,1168.0,37.0
MES,1000,4.0,1,621,CORE,480,165.0,435.0,565.0,781.0,1360.0,45.0
MES,1000,4.0,2,290,CORE,480,288.0,478.0,715.0,842.0,1063.0,2.0
MES,1000,4.0,3,286,CORE,480,328.0,528.0,809.0,871.0,1066.0,-48.0
MES,1000,4.0,4,284,CORE,480,339.0,529.0,803.0,881.0,1157.0,-49.0
MES,1000,4.0,5,277,CORE,480,352.0,549.0,804.0,869.0,1093.0,-69.0
MES,1100,1.0,1,1720,CORE,420,12.0,31.0,59.0,124.0,666.0,389.0
MES,1100,1.0,2,882,CORE,420,17.0,50.0,98.0,166.0,792.0,370.0
MES,1100,1.0,3,857,CORE,420,20.0,65.0,126.0,223.0,662.0,355.0
MES,1100,1.0,4,877,CORE,420,23.0,76.0,143.0,252.0,661.0,344.0
MES,1100,1.0,5,862,CORE,420,25.0,86.0,169.0,278.0,789.0,334.0
MES,1100,1.5,1,1357,CORE,420,22.0,66.0,142.0,268.0,822.0,354.0
MES,1100,1.5,2,688,CORE,420,34.0,119.0,240.0,315.0,795.0,301.0
MES,1100,1.5,3,682,CORE,420,41.0,140.0,253.0,326.0,791.0,280.0
MES,1100,1.5,4,682,CORE,420,42.0,166.0,289.0,351.0,950.0,254.0
MES,1100,1.5,5,658,CORE,420,51.0,184.0,295.0,364.0,819.0,236.0
MES,1100,2.0,1,1147,CORE,420,31.0,107.0,236.0,322.0,1029.0,313.0
MES,1100,2.0,2,561,CORE,420,54.0,230.0,319.0,387.0,1020.0,190.0
MES,1100,2.0,3,570,CORE,420,67.0,258.0,347.0,431.0,994.0,162.0
MES,1100,2.0,4,565,CORE,420,79.0,261.0,355.0,457.0,1191.0,159.0
MES,1100,2.0,5,562,CORE,420,87.0,270.0,358.0,447.0,1184.0,150.0
MES,1100,2.5,1,971,CORE,420,47.0,190.0,319.0,393.0,1195.0,230.0
MES,1100,2.5,2,471,CORE,420,95.0,293.0,375.0,458.0,909.0,127.0
MES,1100,2.5,3,465,CORE,420,103.0,328.0,400.0,516.0,1194.0,92.0
MES,1100,2.5,4,476,CORE,420,129.0,329.0,413.0,500.0,909.0,91.0
MES,1100,2.5,5,469,CORE,420,136.0,348.0,431.0,589.0,937.0,72.0
MES,1100,3.0,1,845,CORE,420,63.0,281.0,381.0,466.0,888.0,139.0
MES,1100,3.0,2,424,CORE,420,135.0,355.0,431.0,537.0,913.0,65.0
MES,1100,3.0,3,410,CORE,420,155.0,357.0,468.0,650.0,1029.0,63.0
MES,1100,3.0,4,413,CORE,420,198.0,388.0,476.0,696.0,1103.0,32.0
MES,1100,3.0,5,409,CORE,420,213.0,396.0,510.0,685.0,1117.0,24.0
MES,1100,4.0,1,677,CORE,420,137.0,366.0,480.0,684.0,1059.0,54.0
MES,1100,4.0,2,342,CORE,420,261.0,418.0,548.0,742.0,1150.0,2.0
MES,1100,4.0,3,337,CORE,420,282.0,472.0,657.0,746.0,1126.0,-52.0
MES,1100,4.0,4,341,CORE,420,308.0,481.0,659.0,741.0,1299.0,-61.0
MES,1100,4.0,5,325,CORE,420,336.0,513.0,711.0,793.0,1160.0,-93.0
MES,1800,1.0,1,1647,CORE,420,15.0,42.0,69.0,97.0,370.0,378.0
MES,1800,1.0,2,859,CORE,420,21.0,60.0,96.0,141.0,705.0,360.0
MES,1800,1.0,3,847,CORE,420,25.0,75.0,115.0,168.0,733.0,345.0
MES,1800,1.0,4,849,CORE,420,28.0,81.0,135.0,197.0,730.0,339.0
MES,1800,1.0,5,835,CORE,420,33.0,85.0,142.0,200.0,731.0,335.0
MES,1800,1.5,1,1342,CORE,420,27.0,78.0,122.0,188.0,706.0,342.0
MES,1800,1.5,2,684,CORE,420,41.0,109.0,181.0,241.0,723.0,311.0
MES,1800,1.5,3,685,CORE,420,51.0,132.0,217.0,295.0,746.0,288.0
MES,1800,1.5,4,695,CORE,420,56.0,150.0,230.0,304.0,744.0,270.0
MES,1800,1.5,5,670,CORE,420,70.0,158.0,248.0,316.0,744.0,262.0
MES,1800,2.0,1,1106,CORE,420,45.0,121.0,204.0,268.0,724.0,299.0
MES,1800,2.0,2,571,CORE,420,69.0,189.0,255.0,319.0,740.0,231.0
MES,1800,2.0,3,559,CORE,420,88.0,228.0,308.0,336.0,755.0,192.0
MES,1800,2.0,4,571,CORE,420,93.0,226.0,298.0,337.0,768.0,194.0
MES,1800,2.0,5,546,CORE,420,108.0,239.0,316.0,360.0,731.0,181.0
MES,1800,2.5,1,944,CORE,420,73.0,198.0,275.0,331.0,771.0,222.0
MES,1800,2.5,2,481,CORE,420,114.0,258.0,324.0,380.0,770.0,162.0
MES,1800,2.5,3,477,CORE,420,131.0,296.0,333.0,383.0,735.0,124.0
MES,1800,2.5,4,482,CORE,420,143.0,301.0,336.0,387.0,758.0,119.0
MES,1800,2.5,5,468,CORE,420,162.0,306.0,369.0,399.0,753.0,114.0
MES,1800,3.0,1,824,CORE,420,100.0,247.0,323.0,356.0,836.0,173.0
MES,1800,3.0,2,414,CORE,420,152.0,319.0,354.0,389.0,835.0,101.0
MES,1800,3.0,3,421,CORE,420,168.0,323.0,374.0,425.0,858.0,97.0
MES,1800,3.0,4,424,CORE,420,179.0,324.0,379.0,424.0,866.0,96.0
MES,1800,3.0,5,416,CORE,420,214.0,333.0,401.0,491.0,856.0,87.0
MES,1800,4.0,1,658,CORE,420,163.0,327.0,386.0,429.0,740.0,93.0
MES,1800,4.0,2,332,CORE,420,239.0,352.0,407.0,513.0,740.0,68.0
MES,1800,4.0,3,334,CORE,420,259.0,379.0,430.0,523.0,867.0,41.0
MES,1800,4.0,4,325,CORE,420,275.0,377.0,442.0,546.0,821.0,43.0
MES,1800,4.0,5,309,CORE,420,265.0,383.0,427.0,536.0,820.0,37.0
MES,CME_CLOSE,1.0,1,897,CORE,180,6.0,16.0,43.0,126.0,186.0,164.0
MES,CME_CLOSE,1.0,2,373,CORE,180,7.0,42.0,106.0,135.0,173.0,138.0
MES,CME_CLOSE,1.0,3,328,CORE,180,8.0,47.0,129.0,145.0,184.0,133.0
MES,CME_CLOSE,1.0,4,252,CORE,180,11.0,48.0,126.0,137.0,181.0,132.0
MES,CME_CLOSE,1.0,5,199,PRELIMINARY,180,15.0,57.0,124.0,135.0,168.0,123.0
MES,CME_CLOSE,1.5,1,582,CORE,180,8.0,42.0,66.0,133.0,179.0,138.0
MES,CME_CLOSE,1.5,2,184,PRELIMINARY,180,14.0,51.0,127.0,139.0,184.0,129.0
MES,CME_CLOSE,1.5,3,158,PRELIMINARY,180,18.0,58.0,127.0,144.0,184.0,122.0
MES,CME_CLOSE,1.5,4,115,PRELIMINARY,180,31.0,75.0,125.0,135.0,183.0,105.0
MES,CME_CLOSE,1.5,5,83,REGIME,180,33.0,120.0,132.0,161.0,182.0,60.0
MES,CME_CLOSE,2.0,1,354,CORE,180,11.0,46.0,127.0,133.0,186.0,134.0
MES,CME_CLOSE,2.0,2,96,REGIME,180,23.0,58.0,141.0,165.0,179.0,122.0
MES,CME_CLOSE,2.0,3,77,REGIME,180,21.0,60.0,127.0,138.0,177.0,120.0
MES,CME_CLOSE,2.0,4,58,REGIME,180,19.0,121.0,131.0,146.0,176.0,59.0
MES,CME_CLOSE,2.0,5,51,REGIME,180,52.0,124.0,132.0,162.0,181.0,56.0
MES,CME_CLOSE,2.5,1,216,CORE,180,20.0,61.0,135.0,168.0,185.0,119.0
MES,CME_CLOSE,2.5,2,52,REGIME,180,39.0,66.0,127.0,160.0,184.0,114.0
MES,CME_CLOSE,2.5,3,45,REGIME,180,44.0,126.0,138.0,153.0,174.0,54.0
MES,CME_CLOSE,2.5,4,35,REGIME,180,37.0,121.0,137.0,162.0,173.0,59.0
MES,CME_CLOSE,2.5,5,22,INVALID,180,32.0,117.0,133.0,134.0,135.0,63.0
MES,CME_CLOSE,3.0,1,151,PRELIMINARY,180,38.0,128.0,139.0,155.0,186.0,52.0
MES,CME_CLOSE,3.0,2,29,INVALID,180,35.0,117.0,128.0,138.0,138.0,63.0
MES,CME_CLOSE,3.0,3,29,INVALID,180,53.0,126.0,149.0,152.0,163.0,54.0
MES,CME_CLOSE,3.0,4,19,INVALID,180,34.0,118.0,163.0,173.0,173.0,62.0
MES,CME_CLOSE,3.0,5,16,INVALID,180,36.0,100.0,133.0,136.0,136.0,80.0
MES,CME_CLOSE,4.0,1,57,REGIME,180,43.0,128.0,137.0,144.0,164.0,52.0
MES,CME_CLOSE,4.0,2,17,INVALID,180,48.0,123.0,127.0,139.0,139.0,57.0
MES,CME_CLOSE,4.0,3,12,INVALID,180,49.0,126.0,137.0,137.0,137.0,54.0
MES,CME_CLOSE,4.0,4,12,INVALID,180,69.0,126.0,137.0,167.0,167.0,54.0
MES,CME_CLOSE,4.0,5,8,INVALID,180,35.0,104.0,125.0,125.0,125.0,76.0
MES,CME_OPEN,1.0,1,897,CORE,480,25.0,71.0,139.0,386.0,963.0,409.0
MES,CME_OPEN,1.0,2,407,CORE,480,33.0,103.0,192.0,455.0,935.0,377.0
MES,CME_OPEN,1.0,3,390,CORE,480,35.0,107.0,251.0,506.0,1076.0,373.0
MES,CME_OPEN,1.0,4,360,CORE,480,47.0,149.0,388.0,553.0,1074.0,331.0
MES,CME_OPEN,1.0,5,344,CORE,480,57.0,171.0,430.0,556.0,1295.0,309.0
MES,CME_OPEN,1.5,1,578,CORE,480,49.0,184.0,505.0,623.0,1092.0,296.0
MES,CME_OPEN,1.5,2,282,CORE,480,71.0,271.0,539.0,704.0,1096.0,209.0
MES,CME_OPEN,1.5,3,256,CORE,480,92.0,306.0,541.0,764.0,1139.0,174.0
MES,CME_OPEN,1.5,4,236,CORE,480,107.0,397.0,571.0,764.0,1136.0,83.0
MES,CME_OPEN,1.5,5,245,CORE,480,113.0,417.0,576.0,759.0,1106.0,63.0
MES,CME_OPEN,2.0,1,429,CORE,480,100.0,376.0,561.0,720.0,1195.0,104.0
MES,CME_OPEN,2.0,2,215,CORE,480,131.0,446.0,585.0,861.0,1192.0,34.0
MES,CME_OPEN,2.0,3,208,CORE,480,145.0,464.0,659.0,860.0,1191.0,16.0
MES,CME_OPEN,2.0,4,200,CORE,480,149.0,491.0,639.0,869.0,1205.0,-11.0
MES,CME_OPEN,2.0,5,196,PRELIMINARY,480,151.0,483.0,661.0,916.0,1233.0,-3.0
MES,CME_OPEN,2.5,1,336,CORE,480,139.0,496.0,642.0,874.0,1248.0,-16.0
MES,CME_OPEN,2.5,2,171,PRELIMINARY,480,200.0,578.0,774.0,907.0,1276.0,-98.0
MES,CME_OPEN,2.5,3,170,PRELIMINARY,480,191.0,558.0,782.0,925.0,1271.0,-78.0
MES,CME_OPEN,2.5,4,159,PRELIMINARY,480,205.0,586.0,871.0,951.0,1297.0,-106.0
MES,CME_OPEN,2.5,5,157,PRELIMINARY,480,244.0,607.0,870.0,950.0,1262.0,-127.0
MES,CME_OPEN,3.0,1,283,CORE,480,191.0,581.0,834.0,920.0,1299.0,-101.0
MES,CME_OPEN,3.0,2,142,PRELIMINARY,480,286.0,647.0,878.0,938.0,1293.0,-167.0
MES,CME_OPEN,3.0,3,148,PRELIMINARY,480,286.0,622.0,906.0,955.0,1287.0,-142.0
MES,CME_OPEN,3.0,4,140,PRELIMINARY,480,300.0,719.0,926.0,970.0,1296.0,-239.0
MES,CME_OPEN,3.0,5,140,PRELIMINARY,480,342.0,747.0,904.0,943.0,1297.0,-267.0
MES,CME_OPEN,4.0,1,214,CORE,480,363.0,745.0,943.0,995.0,1304.0,-265.0
MES,CME_OPEN,4.0,2,109,PRELIMINARY,480,460.0,835.0,928.0,983.0,1302.0,-355.0
MES,CME_OPEN,4.0,3,108,PRELIMINARY,480,508.0,862.0,944.0,1000.0,1299.0,-382.0
MES,CME_OPEN,4.0,4,109,PRELIMINARY,480,566.0,883.0,975.0,1126.0,1305.0,-403.0
MES,CME_OPEN,4.0,5,101,PRELIMINARY,480,568.0,885.0,968.0,1104.0,1310.0,-405.0
MES,US_DATA_OPEN,1.0,1,1716,CORE,240,17.0,45.0,60.0,91.0,466.0,195.0
MES,US_DATA_OPEN,1.0,2,872,CORE,240,23.0,50.0,67.0,111.0,443.0,190.0
MES,US_DATA_OPEN,1.0,3,832,CORE,240,26.0,51.0,71.0,123.0,451.0,189.0
MES,US_DATA_OPEN,1.0,4,830,CORE,240,27.0,52.0,81.0,142.0,450.0,188.0
